PLAYER,POS,GROUP,STATUS,FCHL TEAM,NHL TEAM,AGE,SALARY,BID,PTS
Nikita Kucherov,F,3,START,LGN,TBL,31,8.5,0,124
Nathan MacKinnon,F,3,START,MAC,COL,29,8.5,0,122
Connor McDavid,F,RFA2,,RFA,EDM,27,11.4,0,141
Artemi Panarin,F,3,,UFA,NYR,32,7.3,0,104
David Pastrnak,F,3,START,SHF,BOS,28,6.7,0,107
Auston Matthews,F,2,START,HSM,TOR,26,6.5,0,102
Leon Draisaitl,F,3,START,LPT,EDM,28,11.4,0,112
Mikko Rantanen,F,2,START,GVR,COL,27,6.4,0,102
J.T. Miller,F,3,,UFA,VAN,31,5,0,90
William Nylander,F,3,START,SRL,TOR,28,5.2,0,94
Kirill Kaprizov,F,2,START,LPT,MIN,27,6.9,0,92
Sam Reinhart,F,3,START,VPP,FLA,28,3.6,0,82
Filip Forsberg,F,3,,UFA,NSH,30,2.1,0,79
Sidney Crosby,F,3,,UFA,PIT,37,6.2,0,88
Quinn Hughes,D,2,START,SRL,VAN,24,5.2,0,86
Cale Makar,D,2,START,LGN,COL,25,8,0,86
Brayden Point,F,3,START,SRL,TBL,28,6.8,0,89
Sebastian Aho,F,3,,UFA,CAR,27,5.6,0,83
Elias Pettersson,F,2,START,HSM,VAN,25,3.1,0,95
Matthew Tkachuk,F,3,START,VPP,FLA,26,5,0,99
Robert Thomas,F,2,START,ZSK,STL,25,3.3,0,83
Roman Josi,D,3,,UFA,NSH,34,4.5,0,76
Mitch Marner,F,RFA2,,RFA,TOR,27,6.4,0,103
Jesper Bratt,F,3,START,SHF,NJD,26,4.2,0,83
Evan Bouchard,D,C,START,GVR,EDM,24,2,0,83
Steven Stamkos,F,3,,UFA,TBL,34,4.9,0,73
Jason Robertson,F,RFA1,,RFA,DAL,25,1.7,0,93
Aleksander Barkov,F,RFA2,,RFA,FLA,29,5.4,0,80
Mathew Barzal,F,RFA2,,RFA,NYI,27,4.9,0,77
